"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"0.16","(0.01)","","0.14","(0.01)","","0.18","(0.01)","","0.13","(0.01)"
"0.09","(0.01)","","0.00","(0.01)","","0.17","(0.01)","","0.01","(0.01)"
"0.11","(0.01)","","-0.02","(0.01)","","0.20","(0.01)","","0.03","(0.01)"
"0.10","(0.01)","","0.05","(0.01)","","0.17","(0.01)","","0.07","(0.01)"
"0.14","(0.01)","","0.00","(0.01)","","0.20","(0.01)","","0.01","(0.01)"
"0.14","(0.01)","","0.06","(0.01)","","0.22","(0.01)","","0.07","(0.01)"
"0.13","(0.01)","","0.05","(0.03)","","0.22","(0.02)","","0.07","(0.02)"
"0.14","(0.01)","","0.06","(0.02)","","0.22","(0.02)","","0.05","(0.03)"
"0.14","(0.02)","","0.02","(0.03)","","0.21","(0.02)","","0.01","(0.03)"
"0.14","(0.01)","","0.05","(0.01)","","0.18","(0.01)","","0.03","(0.01)"
"0.12","(0.01)","","0.03","(0.01)","","0.19","(0.01)","","0.02","(0.01)"
