"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"-8.59","(3.32)","","-1.03","(3.44)","","-3.46","(1.45)","","-2.78","(1.42)"
"-10.28","(2.42)","","-0.61","(1.45)","","-4.24","(1.15)","","-0.46","(0.60)"
"-11.19","(2.92)","","-0.96","(3.29)","","-4.01","(1.13)","","0.02","(1.20)"
"-7.92","(2.45)","","-0.22","(2.86)","","-2.09","(1.11)","","-0.05","(1.18)"
"-11.88","(3.07)","","-0.73","(1.79)","","-3.20","(0.95)","","0.37","(0.59)"
"-9.56","(3.27)","","-1.45","(3.29)","","-3.62","(1.37)","","-1.36","(1.31)"
"-8.03","(3.25)","","0.06","(3.30)","","-3.09","(1.70)","","-1.55","(1.71)"
"-10.34","(3.89)","","-1.28","(3.64)","","-3.77","(2.66)","","-1.12","(2.40)"
"-11.39","(5.16)","","-0.66","(4.64)","","-2.78","(3.14)","","0.18","(2.82)"
"-8.78","(2.27)","","-0.38","(1.30)","","-3.69","(0.98)","","-0.22","(0.59)"
"-8.62","(2.37)","","0.01","(1.48)","","-2.68","(0.88)","","0.15","(0.53)"
