id,year,costs,assets,sales,wva,ws,lp,cm,legal_form,subject_type,inst_sector,empl_num,empl_cat,nace,cs,iis,COGSS,nace2,GO,W,II,COGS,VA,L,deflatorgfcp,deflatorintp,deflatorprdp,deflatorvalp,deflatorgdp,deflatorcpi,rGO,rVA,rII,rW,rK,rCOGS,go,w,ii,va,l,k,cogs,lagExists,entry,exit,pp_sales,tenders,pp_dummy,pp_share,lgExist,trim,s_g,s_g_p_1,s_g_p_2,s_g_p_3,s_g_p_4,s_g_p_5,s_g_p_95,s_g_p_96,s_g_p_97,s_g_p_98,s_g_p_99,costshare,cs_p_1,cs_p_99,betahat_tl,muhat_tl,t,markup,Y,Ei,K,D,nyear,i,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,meanpp,lastcohort,gvar
560383,2006,130168000,3846000,143348000,.56569999,.1444,574500,.64019996,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,.9080559,.7636559,.35980004,41,143348000,20699452,109468544,51576616,33879456,58.972073,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,156305744,37242448,119481048,24947894,3938959.3,56294056,18.867325,17.032299,18.598669,17.432961,4.077064,15.186427,17.8461,1,0,0,11127678,Matched (3),1,.077627018,1,1,2.7765942,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.93460464,.16021043,.99653023,.96018749,2.312897,1,2.312897,.83850086,1,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2007,93176000,4160000,102276000,.60780001,.21059999,571945.44,.53349996,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,.91102505,.70042503,.46650004,41,102276000,21539324,71636672,47711760,30639328,53.57037,.97470003,.94800001,.95429999,.96279997,.91012228,.85337996,107173848,31823150,75566112,25240016,4267979.5,50328860,18.489964,17.043941,18.140518,17.275705,3.9809961,15.266651,17.734089,1,0,0,0,Master only (1),0,0,1,1,2.1294711,1.0915266,1.132465,1.1496336,1.1640477,1.1786879,5.0683594,5.9166064,6.2009907,6.4970469,9.9240561,.92182738,.19257173,.99529177,.95512605,1.7563201,2,1.7563201,.5632208,1,1,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2008,100016000,4358000,111874000,.60479999,.17719999,551758.63,.5995,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,.89400578,.71680582,.4005,41,111874000,19824072,80191936,44805536,31682064,57.420151,.95639998,.9774,.99110001,1.022,.92841196,.90764356,112878616,31000064,82046176,21841252,4556671,45841556,18.541824,16.899311,18.222794,17.2495,4.0503955,15.332103,17.640701,1,0,0,8660496,Matched (3),1,.077412948,1,1,2.4623644,1.0550734,1.0822837,1.107815,1.1304183,1.1390355,4.2162333,4.8580151,5.3654895,6.8771076,14.35483,.90958667,.20035221,.99795556,.95092911,2.2347741,3,2.2347741,.80414015,1,2,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2009,76880000,3813000,75892000,.90629995,.22040001,341142.88,.55900002,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,1.0130185,.79261851,.44099998,41,75892000,16726597,60153404,33468370,15738596,46.134911,.96230006,.98339999,1.0049,1.0559,.95243758,.91689593,75521944,14905385,61168808,18242634,3962381.5,34033324,18.139935,16.719273,17.929148,16.517233,3.8315699,15.192356,17.342852,1,0,0,0,Master only (1),0,0,1,1,2.2190588,1.0504562,1.0846872,1.1125567,1.1282047,1.1556506,4.7947321,5.0236387,5.7905607,6.7165751,7.7605453,.895715,.18825078,.99480075,.94314808,1.6766901,4,1.6766901,.51682168,1,3,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2010,104522000,3687000,106238000,.82499999,.16690001,392339.63,.65910006,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,.98384756,.81694758,.34089994,41,106238000,17731124,86790880,36216528,19447120,49.567055,.93330002,.98640001,1.0035,1.0437,.93886238,.93039924,105867464,18632864,87987512,19057544,3950498.3,36715864,18.477699,16.762974,18.292706,16.740437,3.9033265,15.189352,17.41872,1,0,0,0,Master only (1),0,0,1,1,2.8834257,1.0362214,1.0591097,1.0899973,1.1201819,1.1311389,4.6105056,5.1926022,5.997313,7.0211411,9.9188604,.90285587,.17120239,.9910233,.94575083,1.6819522,5,1.6819522,.51995516,1,4,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2011,66299000,5333000,65355000,.98199999,.2649,331660.72,.55479997,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,1.0144442,.74954426,.44520003,41,65355000,17312540,48986464,29096048,16368536,49.353256,.92129999,.99070001,1,1.021,.93866926,.94823706,65355000,16031866,49446316,18257608,5788559.5,29369182,17.995344,16.720093,17.716398,16.59009,3.8990037,15.571394,17.195456,1,0,0,0,Master only (1),0,0,1,1,2.2252917,1.0469195,1.0984589,1.1104013,1.1330054,1.1513073,5.0701132,5.7133799,6.7394581,8.4747629,13.702625,.83535463,.17771626,.99270868,.93208969,1.7425756,6,1.7425756,.55536425,1,5,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2012,67008000,4429000,65861000,.98360002,.2613,323703.69,.50319999,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,1.0174155,.75611556,.49680001,41,65861000,17209480,49798528,32719746,16062472,49.620911,.95649999,.99160004,.99449998,1,.95228857,.97941154,66225240,16062472,50220376,17571244,4630423.5,32996918,18.008572,16.681774,17.731932,16.591995,3.9044123,15.348159,17.311924,1,0,0,0,Master only (1),0,0,1,1,2.0070128,1.0807327,1.107379,1.1148077,1.1446264,1.1530981,4.7775946,5.2923789,6.2162333,6.4577956,12.589449,.87693995,.21952453,.99618721,.93960118,1.6616588,7,1.6616588,.50781637,1,6,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2013,59071000,5031000,57288000,.98620003,.33230001,328438.59,.37630001,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,1.0311234,.69882339,.62370002,41,57288000,19036802,40034196,35730528,17253804,52.532814,.96769994,.98730004,.98269999,.97129995,.96528453,.99349838,58296532,17763620,40549168,19161382,5198925.5,36190140,17.881054,16.768408,17.518026,16.692663,3.9614379,15.463963,17.404297,1,0,0,0,Master only (1),0,0,1,1,1.6108402,1.0395045,1.0712026,1.080767,1.1059896,1.1326731,4.2935085,4.5896811,4.9080658,5.8074036,18.884979,.87438893,.22235148,.99706173,.94084895,1.5620078,8,1.5620078,.44597203,1,7,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2014,45399000,4609000,45108000,.96550006,.42550001,324785.72,.19930001,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,1.0064511,.58095109,.80070001,41,45108000,19193454,26205542,36117976,18902458,58.199783,.98930001,.99849999,.98690003,.95999998,.99017471,.99691588,45706756,19690060,26244910,19252832,4658849.5,36172236,17.637756,16.773169,17.082983,16.795624,4.0638814,15.35428,17.403803,1,0,0,0,Master only (1),0,0,1,1,1.2635866,1.0747333,1.0896649,1.1213056,1.1433539,1.158276,4.6732278,5.0285978,5.2805529,6.0912337,7.7827225,.88589942,.066069283,.99815047,.94259626,1.5864387,9,1.5864387,.46149167,1,8,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
560383,2015,75696000,6710000,80760000,.73879999,.24420001,528537.06,.53320003,Joint stock company,Company,Non-financial corporations national private,47,25 - 49 employees,412010,.93729568,.69309568,.46679997,41,80760000,19721592,55974408,37698764,24785592,46.894711,1,1,1,1,1,1,80760000,24785592,55974408,19721592,6710000,37698764,18.206993,16.797224,17.840405,17.025774,3.8479049,15.71911,17.445137,1,0,0,4194577,Matched (3),1,.051938795,1,1,2.1422453,1.07032,1.082837,1.1247329,1.1412919,1.1576754,4.6104183,5.5555553,6.6666679,8.7260027,14.925379,.84890372,.11420469,.99456435,.93812078,2.0906341,10,2.0906341,.73746741,1,9,1,16,1,1,0,0,0,0,0,0,0,0,0,0,.5,0,1
