id,year,costs,assets,sales,wva,ws,lp,cm,legal_form,subject_type,inst_sector,empl_num,empl_cat,nace,cs,iis,COGSS,nace2,GO,W,II,COGS,VA,L,deflatorgfcp,deflatorintp,deflatorprdp,deflatorvalp,deflatorgdp,deflatorcpi,rGO,rVA,rII,rW,rK,rCOGS,go,w,ii,va,l,k,cogs,lagExists,entry,exit,pp_sales,tenders,pp_dummy,pp_share,lgExist,trim,s_g,s_g_p_1,s_g_p_2,s_g_p_3,s_g_p_4,s_g_p_5,s_g_p_95,s_g_p_96,s_g_p_97,s_g_p_98,s_g_p_99,costshare,cs_p_1,cs_p_99,betahat_tl,muhat_tl,meanpp,treated,i,t,markup,Y,Ei,K,D,D1,nace41,nace42,nace43,sector,public,foreign,empl
13641,2006,34132000,44821000,36496000,.51810002,.2173,536148.13,.35389999,Joint stock company,Company,Non-financial corporations national private,21,25 - 49 employees,412020,.93522578,.71792579,.64610004,41,36496000,7930580.5,26201420,23580068,10294580,19.201,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,39795004,11316456,28597924,9558286,45904340,25736812,17.499252,16.07292,17.168844,16.241768,2.9549623,17.642071,17.063433,1,0,0,0,1,0,0,1,1,1.546229,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.35924619,.16021043,.99653023,.89434421,2.0958095,0,0,13641,1,2.0958095,.73993987,,,0,0,1,0,0,3,0,0,1
27731,2008,12549000,18520000,10555000,1.2413,.57499999,271000,.24440001,Cooperative,Cooperative,Non-financial corporations national private,12,10 - 19 employees,433400,1.1889153,.61391526,.75559998,43,10555000,6069125,6479875.5,7975357.5,4075124.5,15.03736,.95639998,.9774,.99110001,1.022,.92841196,.90764356,10649783,3987401.8,6629707,6686683.5,19364284,8159768,16.181049,15.715629,15.707071,15.19865,2.7105377,16.77894,15.914726,1,0,0,0,1,0,0,1,1,1.3051575,1.0550734,1.0822837,1.107815,1.1304183,1.1390355,4.2162333,4.8580151,5.3654895,6.8771076,14.35483,.29645956,.20035221,.99795556,.86954862,2.1840112,0,0,27731,3,2.1840112,.78116322,,,0,0,0,0,1,3,0,0,0
29122,2007,36589000,13350000,36735000,.89319998,.29879999,2047833.4,.32669997,Limited liability company,Company,Non-financial corporations national private,11,10 - 19 employees,432200,.99602556,.69722557,.67330003,43,36735000,10976418,25612582,24733676,11122418,5.4313102,.97470003,.94800001,.95429999,.96279997,.91012228,.85337996,38494184,11552159,27017492,12862287,13696522,26090376,17.466017,16.36981,17.111996,16.262383,1.6921804,16.432653,17.077078,1,0,0,0,1,0,0,1,1,1.475417,1.0915266,1.132465,1.1496336,1.1640477,1.1786879,5.0683594,5.9166064,6.2009907,6.4970469,9.9240561,.65575296,.19257173,.99529177,.91425335,1.8354856,0,0,29122,2,1.8354856,.60730904,,,0,0,0,0,1,3,0,0,0
176842,2006,466255000,15719000,489814000,.66210002,.18180001,735245.69,.29010001,Joint stock company,Company,Non-financial corporations foreign controlled,216,200 - 249 employees,432100,.95190215,.77010214,.70990002,43,489814016,89048192,377206816,347718976,112607200,153.15588,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,534090080,123784976,411707936,107324816,16098935,379522976,20.096075,18.491371,19.835825,18.634056,5.0314565,16.594263,19.754425,1,0,0,0,1,0,0,1,1,1.4072667,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.95930725,.16021043,.99653023,1.0017992,1.71258,.66666669,1,176842,1,1.71258,.538001,4,-3,0,0,0,0,1,2,0,1,1
196304,2006,159231000,20417000,166722000,.58340001,.2181,,.57230002,Limited liability company,Company,Non-financial corporations national private,97,100 - 199 employees,429100,.95506895,.73696893,.42769998,42,166722000,36362068,122868936,71307000,43853064,,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,181792608,48206072,134107104,43825172,20910488,77829072,19.018377,17.595718,18.714149,17.690996,,16.855761,18.170025,1,0,0,0,1,0,0,1,1,2.335793,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.78822583,.16021043,.99653023,.94424796,1.8224374,.625,1,196304,1,1.8224374,.60017484,2,-1,0,0,0,1,0,3,0,0,1
220159,2006,158568000,58733000,178770000,.5176,.22750001,,.5801,Limited liability company,Company,Non-financial corporations national private,73,50 - 99 employees,412000,.88699448,.65949446,.4199,41,178770000,40670176,117897824,75065520,60872176,,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,194929664,66914560,128681312,49017492,60152600,81931368,19.08815,17.707687,18.67285,18.018927,,17.912395,18.221392,1,0,0,0,1,0,0,1,1,2.3791823,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.57664049,.16021043,.99653023,.92898476,1.9129784,.375,1,220159,1,1.9129784,.64866138,13,-12,0,0,1,0,0,3,0,0,1
534951,2018,61181000,6710000,76870000,.45060003,.2031,74523944,.56590003,Limited liability company,Company,Non-financial corporations national private,14,10 - 19 employees,412000,.79590219,.59280217,.43409997,41,76870000,15612297,45568704,33369264,31301296,.42001665,1.0042,1.0495,1.0898,1.1865001,1.0509413,1.0536801,70535880,26381200,43419444,14816924,6681936,31795392,18.071632,16.51128,17.586418,17.088161,-.86746091,15.714918,17.274832,1,0,0,0,1,0,0,1,1,2.218431,1.0266745,1.0945905,1.111135,1.1430514,1.1694239,5.6949763,6.1066656,6.9033761,8.3019028,11.396701,.82634097,.12412826,.99643099,.93245411,1.8573834,0,0,534951,13,1.8573834,.6191687,,,0,0,1,0,0,3,0,0,0
558010,2010,314641000,46892000,324177000,.69169998,.12149999,484408.34,.2545,Limited liability company,Company,Non-financial corporations national private,120,100 - 199 employees,412000,.97058398,.84908396,.74549997,41,324176992,39387504,275253504,241673936,48923488,100.99638,.93330002,.98640001,1.0035,1.0437,.93886238,.93039924,323046336,46875048,279048576,42333980,50243220,245006016,19.593306,17.5611,19.446896,17.662996,4.6150846,17.732386,19.316793,1,0,0,0,1,0,0,1,1,1.3185241,1.0362214,1.0591097,1.0899973,1.1201819,1.1311389,4.6105056,5.1926022,5.997313,7.0211411,9.9188604,.82982779,.17120239,.9910233,.96876127,1.6689821,.83333331,1,558010,5,1.6689821,.51221395,6,-1,0,0,1,0,0,3,0,0,1
575381,2006,132716000,5462000,139163000,.69870001,.1252,402370.97,.76709998,Joint stock company,Company,Non-financial corporations national private,38,50 - 99 employees,431200,.95367301,.82847297,.23290002,43,139163008,17423208,115292784,32411066,23870224,59.323921,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,151742448,26239664,125838000,20999220,5594018.5,35375536,18.837696,16.859997,18.650505,17.082783,4.0830126,15.537209,17.381531,1,0,0,0,1,0,0,1,1,4.289474,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.86345911,.16021043,.99653023,.93890452,1.7986637,.75,1,575381,1,1.7986637,.587044,7,-6,0,0,0,0,1,3,0,0,1
674672,2006,424261000,5385000,426359000,.84559995,.095799997,539967.75,.81800002,Limited liability company,Company,Non-financial corporations national private,72,50 - 99 employees,412020,.99507928,.8992793,.18199998,41,426359008,40845192,383415808,77597328,42943200,79.529198,.97640002,.91620004,.91710001,.90970004,.87900233,.82970738,464899136,47205892,418484832,49228432,5515157.5,84694744,19.957331,17.711983,19.852152,17.670029,4.3761244,15.523011,18.254564,1,0,0,0,1,0,0,1,1,5.4891143,1.0926596,1.139132,1.1436963,1.1768391,1.1887419,5.099637,5.2086482,5.7613535,8.5532408,15.416949,.93886304,.16021043,.99653023,.96852738,1.7961403,0,0,674672,1,1.7961403,.58564007,,,0,0,1,0,0,3,0,0,1
